"_id"|nombre_ws|strCategoria|strSubcategoria|strCiudad|strDescripcion
5880b148636e564ad8d9b952|Hotel Albucasis|Alojamientos|Hoteles|Córdoba|.El hotel tiene a disposición de sus clientes cama supletoria, cuna, secador de pelo y televisión, información turística.Estamos situados en un tranquilo rincón de una típica calle de la judería barrio antiguo de Córdoba, a 3 minutos de la Mezquita y de muchos monumentos y museos que posee esta hermosa ciudad, Restaurantes, tabernas, oficina turismo, y para los amantes de la naturaleza en la ribera del rio Guadalquivir se encuentra los Sotos de Albolafia donde se pueden observar más de 100 especies de aves diferentes, todo para visitar a pie y para relajarnos un poco, a 30 minutos en coche o bus nuestra sierra morena que tanta belleza no se puede describir y de la cual recomendamos visitar.
5880b148636e564ad8d9b963|Hotel Sierra Hidalga|Alojamientos|Hoteles|Ronda|Enclavado en una situación privilegiada con fantásticas vistas a la sierra, y a menos de 2 Km. del centro de la ciudad de Ronda y 45 Km. de la Costa del Sol, es un lugar ideal para disfrutar de la oferta cultural y gastronómica además del patrimonio histórico-artístico de la ciudad, pudiendo combinarla con actividades en su entorno natural como la Sierra de las Nieves (reserva de la biosfera). Su decoración de estilo moderno y actual ofrece un ambiente selecto y acogedor. En nuestro restaurante podrán degustar los platos de nuestro cocinero Antonio Castro Aguilar además de una exquisita carta de vinos..
5880b1f2636e564ad8d9b969|Hotel Virgen de los Reyes|Alojamientos|Hoteles|Sevilla|El Hotel Virgen de los Reyes***, ubicado en el atractivo y céntrico barrio sevillano de Nervión/Santa Justa, le ofrece completas y modernas instalaciones para su estancia de placer o negocios en la ciudad. Disfrute de un merecido descanso en cualquiera de las 80 habitaciones del hotel, con Wi-Fi gratuito y completamente equipadas. Para su comodidad, el hotel dispone de parking privado y le ofrece cada mañana un delicioso desayuno buffet con productos de primera calidad.
5880b1f2636e564ad8d9b96a|Hotel An Santo Domingo|Alojamientos|Hoteles|Lucena|El Hotel Santo Domingo Lucena está situado en el corazón de la histórica localidad andaluza de Lucena. Ocupa un antiguo convento y conserva aún el hermoso claustro del siglo XVIII. Las habitaciones son sencillas y cómodas y disponen de aire acondicionado, TV vía satélite y baño privado con secador de pelo y artículos de aseo. El hotel también cuenta con cafetería, bar y un elegante restaurante que sirve cocina típica de la zona. Hay conexión WiFi gratuita en todo el establecimiento. La localidad de Lucena alberga una famosa iglesia mudéjar y un castillo morisco, se encuentra a 60 km de Córdoba y a 85 de Málaga y está bien comunicada con Granada, Sevilla y Jaén.
5880b1f2636e564ad8d9b96f|Leflet Valme|Alojamientos|Hoteles|Dos Hermanas|El Hotel Leflet Valme está situado estratégicamente en la Avenida de la Libertad de Dos Hermanas, a solo 7 minutos a pie del centro de la población y conecta directamente con la Autovía Sevilla-Cádiz, estando a solo 10 minutos en coche del centro de Sevilla. También cercanas al hotel encontrará la estación de autobús y del tren de cercanías. Su diseño es funcional y vanguardista, sus confortables 70 habitaciones están equipadas con todo lo que usted pueda necesitar.
5880b1f2636e564ad8d9b970|Casa Blanco|Alojamientos|Hoteles|Tarifa|Casa Blanco, conocido antiguamente como Palacete de las Sendas, era un viejo caserón abandonado a su suerte por descendientes de una de las familias más influyentes de la provincia gaditana. La adquisición del inmueble por parte del grupo hotelero al que pertenece, llevó a cabo una imponente reconstrucción basada en el uso de materiales similares a los que en su día conformaron la casa y la incorporación de las modernidades que permitieran a los huéspedes disfrutar de una estancia en la que no se echara de menos nada.Tan solo siete habitaciones se reparten en las dos plantas de que consta el edificio. Siete habitaciones que por su practicidad y comodidad hacen de la estancia un placer comparable al del que se disfruta en esta ciudad, la más meridional del continente europeo y desde donde se puede contemplar la costa africana y desde donde, a decir de muchos, se dan las puestas de sol más bonitas el mundo.
5880b1f2636e564ad8d9b97e|Hotel Regio 2|Alojamientos|Hoteles|Cádiz|El Hotel Regio 2 se encuentra situado en el centro de la parte nueva de la ciudad, a 1,5 Km. del casco histórico y del Palacio de Congresos y a tan solo 150 m. de la Playa Victoria. Recientemente reformado, es un hotel tranquilo y acogedor, tanto para estancias vacacionales como para viajes de negocio. Cuenta con Wi-Fi gratuito en todas sus dependencias y con parking y garaje propios, solo para clientes del hotel.El trato cercano que solo una empresa familiar sabe dispensarle y el gusto por los pequeños detalles, hacen de nuestra empresa su mejor elección para su estancia en Cádiz.
5880b1f2636e564ad8d9b97f|El Rincon de las Descalzas|Alojamientos|Hoteles|Carmona|El Rincón de las Descalzas es una casona de finales del s. XVII; convertida hoy en un hotel con encanto situado en pleno centro histórico de Carmona y a tan sólo 30 min. de Sevilla. El hotel refleja el equilibrio entre el pasado y el presente, sin prescindir del lujo y la comodidad, donde se respira tranquilidad y el típico aire del sur. La filosofía del hotel es un estilo de vida dedicado al placer bajo una atmósfera familiar en la que todo está al mínimo detalle para su deleite.
5880b1f2636e564ad8d9b987|Hotel Emilio|Alojamientos|Hoteles|Punta Umbria|Hora de entrada: de 14 a 15 horas
5880b1f2636e564ad8d9b989|Hotel El Horcajo|Alojamientos|Hoteles|Ronda|"El Hotel El Horcajo se encuentra situado dentro de los límites del Parque Natural de Grazalema. El parque se halla en la sección oeste de la cordillera montañosa y posee una altitud que oscila entre los 250 m y los 1654 m sobre el nivel del mar. Hotel El Horcajo Ronda Entorno El Parque posee una extensión de más de 50.000 hectáreas y ha sido declarado por la UNESCO “Reserva Natural de la Biosfera”. Además, ha sido designado por la Comunidad Europea como área especial de protección para las aves. El parque constituye el sueño de un botánico, debido a su excepcional riqueza en lo que a flora se refiere. Existe un área de bosque natural de ""Abies Pinsapa”, que es una reminiscencia de la flora que cubrió la región durante la última glaciación. Dicha zona es única en toda España. Estas especies botánicas existen desde el período terciario y se les conoce como “fósiles vivientes”. El resto de la vegetación del parque, como es el caso de los alcornoques, así como una gran variedad de flores silvestres, son genuinamente mediterráneas. Existe también en el parque una amplia variedad de fauna silvestre, como es el caso de las cabras montesas, zorros y corzos, así como aves tales como el buitre común (de hecho, una de las colonias de esta especie más grandes de Europa), el águila pescadora y el águila dorada. El Parque a su vez forma parte de la ruta migratoria de las aves que vuelan desde el norte de Europa hacia Africa, lo que permite contemplar frecuentemente a águilas volando sobre el Parque. Hotel El Horcajo Ronda Entorno Desde el punto de vista geológico el Parque se inserta dentro de la Cordillera Bética. En el perímetro Oeste del Parque se encuentran importantes cuevas. Es el caso de la Cueva del Hundidero, de la Cueva del Gato y de la Cueva de la Pileta. El Parque Natural de Grazalema es un paraíso para los amantes de la naturaleza. Una nota interesante es el hecho de que el parque posee su propio microclima, con algunas áreas que registran el mayor nivel de lluvias caídas de toda España. Esto se debe a la total ausencia de montañas significativas hacia el oeste. Cuando el viento sopla desde el Atlántico hacia el Oeste, estas son las primeras montañas que se encuentra el aire húmedo. El efecto es tan concentrado, que en algunas zonas del Parque se registra un nivel pluviométrico tres veces superior al de otros lugares cercanos."
5880b1f2636e564ad8d9b98b|Pequeno Rocio|Alojamientos|Hoteles|El Rocío|El Hotel Pequeño Rocío es un complejo hotelero que consta de dos zonas visiblemente diferenciadas, las zonas comunes y la zona de alojamiento. La zona de alojamiento dispone de 22 casas rurales, dichas casas mantienen la fisonomía típica del lugar (La aldea Del Rocío), hecho que permite que nuestros clientes se sientan totalmente integrados en el entorno, manteniendo una decoración individual y personalizada. Casa Standard: Cada una de ellas tiene un porche de entrada y un patio trasero, amplio salón comedor totalmente equipado (TV, cómodos sofás, climatiación, etc.), un cuarto de baño con ducha térmica, secador de pelo y todos los complementos necesarios para el aseo, dos dormitorios cada uno de ellos para dos personas. Todas las casas disponen de calefacción y aire acondicionado en todas las dependencias. Las casas tienen una capacidad para 4 Pax (sin incluir camas supletorias). Suites: Las suites tienen todas las comodidades de nuestras casas standard añadiéndoles más espacio en cada departamento y una segunda planta. En la plata alta encontramos una habitación de matrimonio y un baño privado mientras que en la plata baja disponemos de una habitación doble, baño, salón, patio y porche. En las zonas comunes disponemos de varias estancias y salones con diferentes capacidades que nos facilitan la adaptación de cualquier evento que desee montar adaptándonos a sus necesidades ó simplemente disfrutar de un entorno privilegiado.
5880b1f2636e564ad8d9b98d|Hotel Don Gonzalo|Alojamientos|Hoteles|Cenes de la Vega|Se encuentra bien situado por su acceso directo a la Autovía / Circunvalación de Granada y a escasos 5 minutos de la Alhambra y del centro de Granada, así como a 20 minutos de la Estación de Esquí de Sierra Nevada. Ofrece conexiones directas con la estación de autobuses de Granada, y con el centro de Granada, gracias a la parada que hay junto al hotel de la línea SN1 de autobús urbano, que pasa con frecuencia. El hotel cuenta con 2 habitaciones triples y 24 dobles, una de ellas adaptada para minusválidos, totalmente equipadas con hilo musical, TV de pantalla plana, acceso a Internet con conexión Wi-Fi gratuita en todo el establecimiento, teléfono, baño completo con secador de pelo, aire acondicionado (frío y caliente)..., todo lo necesario para hacer su estancia confortable. Los huéspedes podrán degustar la cocina regional en el restaurante Casa Gonzalo, con terraza con barbacoa y que también alberga celebraciones especiales o eventos de negocios. Asimismo, dispone de cafetería y parking privado con 16 plazas. Podrá disfrutar de los deportes de invierno, cursos de equitación, parapente... Y en verano podrá refrescarse en el parque acuático que está situado en las inmediaciones.
5880b1f2636e564ad8d9b994|Buchinger Wilhelmi|Alojamientos|Hoteles|Marbella|Nos complace presentarles nuestras clínicas de Marbella y del lago de Constanza. La filosofía de Buchinger Wilhelmi se basa en la armónica tríada formada por el ayuno terapéutico, la medicina integrativa y la inspiración psíquico-espiritual. Con el método del ayuno terapéutico Buchinger ayudamos a las personas a prevenir y curar enfermedades físicas y psíquicas. Nuestro propósito es preservar de manera consciente la calidad de vida, la capacidad de rendimiento y la armonía interior. Este enfoque actúa sobre el ser humano en su totalidad, en su dimensión física, psíquica y espiritual. Despertar en nuestros pacientes la sensibilidad por un estilo de vida saludable es nuestro principal cometido. Para dar respuesta a un concepto tan amplio hemos desarrollado un programa integral con numerosas y muy variadas ofertas deportivas, culturales, artísticas, relajantes, médicas y terapéuticas. Desde la caminata matinal en la playa hasta las veladas musicales, todas las actividades están a su disposición, recogidas de forma clara y práctica en el programa semanal. Disfrute del lujo de elegir libremente de esta oferta inspiradora lo que más le apetezca. A la medida de sus necesidades y su gusto. A fin de cuentas, los días en Buchinger Wilhelmi le pertenecen únicamente a usted y a su bienestar.
